				
Assume single-precision IEEE 754.				
				
Hexadecimal	Binary Scientific Notation	Decimal		
35 B0 00 00 	1.101 x 2^(-20)	-		
F1 28 00 00	-1.0101 x 2^(99) 	-		
				
Assume double-precision IEEE 754.				
				
Hexadecimal	Binary Scientific Notation	Decimal		
B3 0F 00 00 00 00 00 00	-1.1111 x 2^(-207) 	-		
				
Assume Unicode.				
				
Glyph	Codepoint	UTF-32	UTF-16	UTF-8
∞	U+221E	0000221E 	-	E2 88 9E 
🀲	U+1F032 	-	D83C DC32	F0 9F 80 B2 
M	U+004D 	0000004D 	004D	-
😤	U+1F624 	0001F624	-	F0 9F 98 A4
⋡	-	000022E1	22E1	E2 8B A1
f 	-	00000066	0066	66
🀦	U+1F026 	0001F026	-	F0 9F 80 A6 
ϟ	U+03DF 	000003DF 	-	CF 9F
ú	-	000000FA	00FA 	C3 BA 
🙋	-	0001F64B 	D83D DE4B	F0 9F 99 8B
				
Assume our simple machine, given the following labels:				
counter	C43			
message	1000153			
lookup	20DB3D			
stdin	1FD			
stdout	884			
gpu	F00BF6D			
				
Machine Instruction	Assembly Instruction			
40000C43	ADD counter 			
11000153	STORE message			
E0000C43 	JLZ counter			
3F00BF6D 	OUT gpu			
20000884	IN stdout 			
